"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"fl","highlands","other",2349,5.3,500,60275
"fl","highlands","republican",28061,62.5,100,12055
"fl","hillsborough","democrat",279848,47.6,100,12057
"fl","hillsborough","other",25413,4.3,500,60285
"fl","hillsborough","republican",282749,48.1,100,12057
"fl","holmes","democrat",975,11.6,100,12059
"fl","holmes","other",399,4.7,500,60295
"fl","holmes","republican",7032,83.7,100,12059
"fl","indian river","democrat",28241,35.8,100,12061
"fl","indian river","other",2513,3.1,500,60305
"fl","indian river","republican",48124,61,100,12061
"fl","jackson","democrat",6352,30.5,100,12063
"fl","jackson","other",675,3.2,500,60315
"fl","jackson","republican",13796,66.3,100,12063
"fl","jefferson","democrat",3620,47.7,100,12065
"fl","jefferson","other",221,2.8,500,60325
"fl","jefferson","republican",3751,49.4,100,12065
"fl","lafayette","democrat",665,19.9,100,12067
"fl","lafayette","other",120,3.5,500,60335
"fl","lafayette","republican",2559,76.5,100,12067
"fl","lake","democrat",58938,35.2,100,12069
"fl","lake","other",8115,4.8,500,60345
"fl","lake","republican",100404,60,100,12069
"fl","lee","democrat",104443,32.5,100,12071
"fl","lee","other",12444,3.9,500,60355
"fl","lee","republican",204557,63.6,100,12071
"fl","leon","democrat",86536,57.3,100,12073
"fl","leon","other",4448,3,500,60365
"fl","leon","republican",59909,39.7,100,12073
"fl","levy","democrat",5281,27.7,100,12075
"fl","levy","other",857,4.6,500,60375
"fl","levy","republican",12903,67.8,100,12075
"fl","liberty","democrat",748,23.3,100,12077
"fl","liberty","other",170,5.3,500,60385
"fl","liberty","republican",2290,71.4,100,12077
"fl","madison","democrat",3564,42.4,100,12079
"fl","madison","other",253,3,500,60395
"fl","madison","republican",4582,54.6,100,12079
"fl","manatee","democrat",66412,37.5,100,12081
"fl","manatee","other",7921,4.4,500,60405
"fl","manatee","republican",102543,58,100,12081
"fl","marion","democrat",59462,34.5,100,12083
"fl","marion","other",8370,4.9,500,60415
"fl","marion","republican",104284,60.6,100,12083
"fl","martin","democrat",33662,39.4,100,12085
"fl","martin","other",2024,2.4,500,60425
"fl","martin","republican",49785,58.2,100,12085
"fl","miami-dade","democrat",528555,54.6,100,12086
"fl","miami-dade","other",20430,2.1,500,60430
"fl","miami-dade","republican",419623,43.3,100,12086
"fl","monroe","democrat",18720,44.8,100,12087
"fl","monroe","other",1446,3.6,500,60435
"fl","monroe","republican",21607,51.7,100,12087
"fl","nassau","democrat",9527,20.7,100,12089
"fl","nassau","other",1589,3.4,500,60445
"fl","nassau","republican",34930,75.9,100,12089
"fl","okaloosa","democrat",20755,20.8,100,12091
"fl","okaloosa","other",4411,4.5,500,60455
"fl","okaloosa","republican",74646,74.8,100,12091
"fl","okeechobee","democrat",4280,31.8,100,12093
"fl","okeechobee","other",552,4.1,500,60465
"fl","okeechobee","republican",8637,64.1,100,12093
"fl","orange","democrat",293446,54.4,100,12095
"fl","orange","other",21232,4.1,500,60475
"fl","orange","republican",224710,41.7,100,12095
"fl","osceola","democrat",75497,54.6,100,12097
"fl","osceola","other",5767,4.1,500,60485
"fl","osceola","republican",57046,41.2,100,12097
"fl","palm beach","democrat",347671,53.7,100,12099
"fl","palm beach","other",14103,2.2,500,60495
"fl","palm beach","republican",286027,44.2,100,12099
"fl","pasco","democrat",88520,37.3,100,12101
"fl","pasco","other",14143,6,500,60505
"fl","pasco","republican",134631,56.7,100,12101
"fl","pinellas","democrat",222590,46,100,12103
"fl","pinellas","other",24903,5.2,500,60515
"fl","pinellas","republican",236170,48.8,100,12103
"fl","polk","democrat",110144,39.4,100,12105
"fl","polk","other",13703,4.8,500,60525
"fl","polk","republican",155975,55.7,100,12105
"fl","putnam","democrat",9745,30.2,100,12107
"fl","putnam","other",1295,3.9,500,60535
"fl","putnam","republican",21214,65.8,100,12107
"fl","santa rosa","democrat",16226,18.7,100,12113
"fl","santa rosa","other",3794,4.3,500,60565
"fl","santa rosa","republican",66700,76.9,100,12113
"fl","sarasota","democrat",92167,40.9,100,12115
"fl","sarasota","other",9030,4,500,60575
"fl","sarasota","republican",124007,55.1,100,12115
"fl","seminole","democrat",94192,42.6,100,12117
"fl","seminole","other",9207,4.1,500,60585
"fl","seminole","republican",117539,53.2,100,12117
"fl","st johns","democrat",35525,26.2,100,12109
"fl","st johns","other",4248,3.2,500,60545
"fl","st johns","republican",95693,70.6,100,12109
"fl","st lucie","democrat",69529,49.9,100,12111
"fl","st lucie","other",3756,2.6,500,60555
"fl","st lucie","republican",66182,47.5,100,12111
"fl","sumter","democrat",21182,27.9,100,12119
"fl","sumter","other",2860,3.8,500,60595
"fl","sumter","republican",51837,68.3,100,12119
"fl","suwannee","democrat",4475,24.2,100,12121
"fl","suwannee","other",684,3.8,500,60605
"fl","suwannee","republican",13327,72.1,100,12121
"fl","taylor","democrat",2654,28.8,100,12123
"fl","taylor","other",357,3.8,500,60615
"fl","taylor","republican",6209,67.3,100,12123
"fl","union","democrat",1064,19.1,100,12125
"fl","union","other",NA,NA,500,60625
"fl","union","republican",4312,77.4,100,12125
"fl","volusia","democrat",104271,40.7,100,12127
"fl","volusia","other",12185,4.8,500,60635
"fl","volusia","republican",139687,54.5,100,12127
"fl","wakulla","democrat",4852,31.9,100,12129
"fl","wakulla","other",573,3.9,500,60645
"fl","wakulla","republican",9767,64.3,100,12129
"fl","walton","democrat",6319,19,100,12131
"fl","walton","other",1280,3.9,500,60655
"fl","walton","republican",25682,77.2,100,12131
"fl","washington","democrat",2231,20.2,100,12133
"fl","washington","other",473,4.4,500,60665
"fl","washington","republican",8316,75.5,100,12133
"il","adams","democrat",12344,39,100,17001
"il","adams","other",1235,3.9,200,34002
"il","adams","republican",18046,57.1,100,17001
"il","alexander","democrat",1511,55.5,100,17003
"il","alexander","other",91,3.3,200,34006
"il","alexander","republican",1121,41.2,100,17003
"il","bond","democrat",3201,43,100,17005
"il","bond","other",402,5.4,200,34010
"il","bond","republican",3836,51.6,100,17005
"il","boone","democrat",8477,37.6,100,17007
"il","boone","other",1542,6.8,200,34014
"il","boone","republican",12497,55.5,100,17007
"il","brown","democrat",791,35.1,100,17009
"il","brown","other",96,4.2,200,34018
"il","brown","republican",1366,60.6,100,17009
"il","bureau","democrat",6819,42.2,100,17011
"il","bureau","other",943,5.8,200,34022
"il","bureau","republican",8415,52,100,17011
"il","calhoun","democrat",1272,51.4,100,17013
"il","calhoun","other",73,3,200,34026
"il","calhoun","republican",1129,45.6,100,17013
"il","carroll","democrat",2567,35.1,100,17015
"il","carroll","other",391,5.4,200,34030
"il","carroll","republican",4348,59.5,100,17015
"il","cass","democrat",1795,35.8,100,17017
"il","cass","other",303,6.1,200,34034
"il","cass","republican",2914,58.1,100,17017
"il","champaign","democrat",45355,50.9,100,17019
"il","champaign","other",5153,5.8,200,34038
"il","champaign","republican",38525,43.3,100,17019
"il","christian","democrat",4863,32.1,100,17021
"il","christian","other",987,6.5,200,34042
"il","christian","republican",9297,61.4,100,17021
"il","clark","democrat",2392,30.9,100,17023
"il","clark","other",388,5,200,34046
"il","clark","republican",4949,64,100,17023
"il","clay","democrat",1909,31.4,100,17025
"il","clay","other",275,4.6,200,34050
"il","clay","republican",3896,64.1,100,17025
"il","clinton","democrat",6413,37.4,100,17027
"il","clinton","other",694,4,200,34054
"il","clinton","republican",10032,58.5,100,17027
"il","coles","democrat",7493,34.9,100,17029
"il","coles","other",1370,6.4,200,34058
"il","coles","republican",12587,58.7,100,17029
"il","cook",NA,NA,NA,NA,17031
"il","cook","democrat",1423087,70.1,975,NA
"il","cook","other",95844,4.7,1950,NA
"il","cook","republican",512164,25.2,975,NA
"il","crawford","democrat",2621,31.2,100,17033
"il","crawford","other",432,5.1,200,34066
"il","crawford","republican",5338,63.6,100,17033
"il","cumberland","democrat",1328,24.2,100,17035
"il","cumberland","other",372,6.8,200,34070
"il","cumberland","republican",3790,69,100,17035
"il","de witt","democrat",1941,26,100,17039
"il","de witt","other",513,6.9,200,34078
"il","de witt","republican",5002,67.1,100,17039
"il","dekalb","democrat",19906,46.7,100,17037
"il","dekalb","other",3393,7.9,200,34074
"il","dekalb","republican",19299,45.3,100,17037
"il","douglas","democrat",1968,24.4,100,17041
"il","douglas","other",497,6.2,200,34082
"il","douglas","republican",5594,69.4,100,17041
"il","dupage","democrat",203279,48.9,100,17043
"il","dupage","other",22605,5.5,200,34086
"il","dupage","republican",190201,45.7,100,17043
"il","edgar","democrat",2011,26.1,100,17045
"il","edgar","other",418,5.4,200,34090
"il","edgar","republican",5279,68.5,100,17045
"il","edwards","democrat",724,22.8,100,17047
"il","edwards","other",134,4.2,200,34094
"il","edwards","republican",2321,73,100,17047
"il","effingham","democrat",3801,22.1,100,17049
"il","effingham","other",934,5.5,200,34098
"il","effingham","republican",12497,72.5,100,17049
"il","fayette","democrat",3196,34.1,100,17051
"il","fayette","other",431,4.6,200,34102
"il","fayette","republican",5744,61.3,100,17051
"il","ford","democrat",1417,22.4,100,17053
"il","ford","other",400,6.3,200,34106
"il","ford","republican",4497,71.2,100,17053
"il","franklin","democrat",8518,46.6,100,17055
"il","franklin","other",889,4.9,200,34110
"il","franklin","republican",8885,48.6,100,17055
"il","fulton","democrat",6711,43.1,100,17057
"il","fulton","other",1162,7.5,200,34114
"il","fulton","republican",7690,49.4,100,17057
"il","gallatin","democrat",1263,49.4,100,17059
"il","gallatin","other",85,3.3,200,34118
"il","gallatin","republican",1209,47.3,100,17059
"il","greene","democrat",2019,37.4,100,17061
"il","greene","other",318,5.9,200,34122
"il","greene","republican",3059,56.7,100,17061
"il","grundy","democrat",9425,41.5,100,17063
"il","grundy","other",1715,7.5,200,34126
"il","grundy","republican",11587,51,100,17063
